@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute xy-1 numeric
@attribute xy-2 numeric
@attribute out-1 {0,1,2,3}

@data
247,'2019/04/26 12:33:44:022',10,122,47,1
248,'2019/04/26 12:33:44:082',10,122,47,1
249,'2019/04/26 12:33:44:142',10,122,47,1
250,'2019/04/26 12:33:44:205',10,122,47,1
251,'2019/04/26 12:33:44:266',10,122,47,1
252,'2019/04/26 12:33:44:325',10,122,47,1
253,'2019/04/26 12:33:44:384',10,122,47,1
254,'2019/04/26 12:33:44:444',10,121,47,1
255,'2019/04/26 12:33:44:505',10,122,47,1
256,'2019/04/26 12:33:44:566',10,121,46,1
257,'2019/04/26 12:33:44:625',10,121,46,1
258,'2019/04/26 12:33:44:683',10,122,47,1
259,'2019/04/26 12:33:44:743',10,122,46,1
260,'2019/04/26 12:33:44:803',10,123,47,1
261,'2019/04/26 12:33:44:863',10,123,47,1
262,'2019/04/26 12:33:44:922',10,123,47,1
263,'2019/04/26 12:33:44:981',10,123,47,1
264,'2019/04/26 12:33:45:047',10,123,47,1
265,'2019/04/26 12:33:48:971',11,33,51,2
266,'2019/04/26 12:33:49:032',11,34,51,2
267,'2019/04/26 12:33:49:092',11,35,52,2
268,'2019/04/26 12:33:49:152',11,36,52,2
269,'2019/04/26 12:33:49:216',11,35,51,2
270,'2019/04/26 12:33:49:279',11,35,52,2
271,'2019/04/26 12:33:49:341',11,34,50,2
272,'2019/04/26 12:33:49:402',11,36,51,2
273,'2019/04/26 12:33:49:463',11,34,50,2
274,'2019/04/26 12:33:49:521',11,35,51,2
275,'2019/04/26 12:33:49:668',11,35,51,2
276,'2019/04/26 12:33:49:728',11,34,51,2
277,'2019/04/26 12:33:49:797',11,35,50,2
278,'2019/04/26 12:33:49:873',11,34,50,2
279,'2019/04/26 12:33:49:945',11,34,52,2
280,'2019/04/26 12:33:50:022',11,35,50,2
281,'2019/04/26 12:33:50:105',11,38,51,2
282,'2019/04/26 12:33:53:755',12,199,39,3
283,'2019/04/26 12:33:53:815',12,199,39,3
284,'2019/04/26 12:33:53:875',12,199,39,3
285,'2019/04/26 12:33:53:934',12,200,39,3
286,'2019/04/26 12:33:54:002',12,201,39,3
287,'2019/04/26 12:33:54:068',12,201,39,3
288,'2019/04/26 12:33:54:127',12,202,40,3
289,'2019/04/26 12:33:54:187',12,202,40,3
290,'2019/04/26 12:33:54:261',12,203,40,3
291,'2019/04/26 12:33:54:320',12,204,40,3
292,'2019/04/26 12:33:54:380',12,203,40,3
293,'2019/04/26 12:33:54:439',12,203,40,3
294,'2019/04/26 12:33:54:499',12,203,40,3
295,'2019/04/26 12:33:54:559',12,203,40,3
296,'2019/04/26 12:33:54:618',12,203,40,3
297,'2019/04/26 12:33:54:676',12,203,40,3
298,'2019/04/26 12:33:54:735',12,203,40,3
299,'2019/04/26 12:33:54:796',12,204,40,3
300,'2019/04/26 12:33:54:867',12,203,39,3
301,'2019/04/26 12:33:54:927',12,203,40,3
302,'2019/04/26 12:33:54:986',12,202,40,3
303,'2019/04/26 12:33:55:046',12,202,39,3
304,'2019/04/26 12:33:55:107',12,203,40,3
